,creation,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
14,2022-09-17 16:41:28+00:00,Titity99,"I love to be with my friends and I will be there when they need me. 
-#BTSARMY for a long time-OT7",Bulgaria,564,234,717641,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
15,2022-09-17 16:35:16+00:00,gx_saurav,Design & Product @RoundGlass_  |  Gamer | Geek | Cook,"Gurgaon, India",77,672,31494,0,"Left: Windows 11 Subsystem for Android running Instagram.

Right: ""Link to Windows"" running Instagram from my #galaxys22 on my PC. 

WSA seems good for those out of Samsung Ecosystem. https://t.co/PXBMKoafDc",['galaxys22']
16,2022-09-17 16:33:55+00:00,ViralVjadav,#Civilengineer,India,84,32,83,0,"#Biggestdealoftheyear @amazonIN 
Official Price : 59999/- 
Offer Price ( My Guess) : 49999/- 
#GalaxyS22  #Samsung @SamsungIndia https://t.co/muvplMT8XP","['Biggestdealoftheyear', 'GalaxyS22', 'Samsung']"
17,2022-09-17 14:49:38+00:00,Chitiya2003,,,43,1,10,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
18,2022-09-17 14:49:30+00:00,preetdhami73,,,3829,158,18246,3,"Samsung Galaxy S22, Galaxy S22+, and Galaxy S22 Ultra have launched globally.

Are you excited for Galaxy S22 series?

#Samsung #SamsungUnpacked #SamsungS22Ultra #GalaxyS22 #GalaxyS22Series https://t.co/ERkLOyLtwn",[]
19,2022-09-17 14:37:40+00:00,preetdhami73,,,3829,158,18246,56,"Find your inspiration, travelers. 📸🎨 #GalaxyWeek #GalaxyS22 Ultra #GalaxyTabS8 Ultra
*Galaxy Week promotions and deals differ by country.

Learn more: https://t.co/D6nxwskptt https://t.co/3RsIhcNA69","['GalaxyWeek', 'GalaxyS22', 'GalaxyTabS8']"
20,2022-09-17 14:30:15+00:00,ArushiWorld,Life Goes on 💜🙂,,319,70,28788,4,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/8IUqkOoNZX. #GalaxyS22 Series #Samsung https://t.co/w7O3a11r0D",[]
21,2022-09-17 14:13:20+00:00,MhSmh58262,"Life is great!! I just started my account. A Lover of Alternative Rock/Kpop, however my content will solely be BTS and Kpop related. Over 21 years of age",,140,108,2553,435,"Say hi to the #GalaxyS22 Bora Purple. A new shade that transforms Galaxy S22 into a whole new magical experience. 

Learn more: https://t.co/BJVuziMDXU https://t.co/g3FvS9YTIS",['GalaxyS22']
22,2022-09-17 14:08:24+00:00,suglvs,"𝓣𝓸 𝓶𝓮, 𝔂𝓸𝓾 𝓪𝓻𝓮 𝓹𝓮𝓻𝓯𝓮𝓬𝓽.",,1640,434,38067,435,"Say hi to the #GalaxyS22 Bora Purple. A new shade that transforms Galaxy S22 into a whole new magical experience. 

Learn more: https://t.co/BJVuziMDXU https://t.co/g3FvS9YTIS",['GalaxyS22']
23,2022-09-17 14:00:27+00:00,jilld047,I'm a proud Army Mom of an Army daughter who dances to spread love and to share her passion. 💜,Colorado,617,325,92238,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
24,2022-09-17 13:46:33+00:00,otsukade,#𝘠𝘖𝘖𝘕𝘎𝘐 : #𝘑𝘜𝘕𝘎𝘒𝘖𝘖𝘒 𝘪𝘴 𝘵𝘩𝘦 𝘮𝘰𝘴𝘵 𝘵𝘢𝘭𝘦𝘯𝘵𝘦𝘥 𝘰𝘧 𝘢𝘭𝘭 𝘵𝘩𝘦 𝘮𝘶𝘴𝘪𝘤𝘪𝘢𝘯𝘴 𝘐'𝘷𝘦 𝘦𝘷𝘦𝘳 𝘴𝘦𝘦𝘯 | 𝙃𝙚𝙚𝙅𝙖𝙠𝙚’𝙨 luvr,Genius Closet (fan account),1896,2210,255376,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
25,2022-09-17 13:45:02+00:00,ggugi0901,전정국씨 팬 이올시다!!,,53,9,2553,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
26,2022-09-17 13:28:29+00:00,Kooky57194211,,Việt Nam,376,186,68677,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
27,2022-09-17 13:25:23+00:00,ziptechdm,"Ziptech Enterprises Pvt Ltd is an exclusive retail chain for SAMSUNG & DELL, incorporated in the year 2011,and we are having chain of stores across the Chennai",India,2602,701,3524,0,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/aYYi8UMqQw. #GalaxyS22 Series #Samsung https://t.co/ztD9754ecv","['GalaxyS22', 'Samsung']"
28,2022-09-17 13:20:00+00:00,whitestonedome,"For any inquiries, feedback@whitestone.com
Best Device Protectors
Dome Glass/ EZ Glass/ Film/ Camera Protector/ Case
 YT: https://t.co/ZKPBMxTS99  FB: https://t.co/sY0g3EKQRq",,2945,11686,233074,0,"The Whitestone Dome Glass Screen protector is pretty clean. No fingerprint issues at all for me. https://t.co/DSdEPFG9Ya

Whitestone Dome Glass for Galaxy S22 Ultra
[2PACK] https://t.co/PhDRvErI9l #Amazon",['Amazon']
29,2022-09-17 12:57:42+00:00,__fairyy__,"ℛᵉᵐᶦⁿᵈ ʸᵒᵘʳˢᵉˡᶠ ᵗʰᵃᵗ ᶦᵗ'ˢ ᵒᵏ ⁿᵒᵗ ᵗᵒ ᵇᵉ ᵖᵉʳᶠᵉᶜᵗ ༄‎.•.◌.▪.◇.▾.↝
⠂⠄⠄⠂⠁⠁⠂⠄ @BTS_twt  ⠄⠂⠁⠁⠂⠄⠄⠂",,574,563,52004,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
30,2022-09-17 12:54:41+00:00,Faraz_ahmed091,,,6,1,14,15,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: https://t.co/6WOzntp8su | https://t.co/ngF3XaLiJ5 https://t.co/b8g7c42NAw","['GalaxyS22', 'GalaxyBuds2Pro']"
31,2022-09-17 12:38:30+00:00,AlisaS54,BTS💜ARMY💜🇷🇺. Взаимная подписка с ARMY,Россия Самара,296,18,7662,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
32,2022-09-17 12:33:21+00:00,DornCutie,"L💜VE Jungkook🐰💜
K💚ing​ Mika​ 👑​🥝​ 

https://t.co/WbvBO1iks8",Lao People's Democratic Republ,446,283,27432,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
33,2022-09-17 12:29:32+00:00,SteveSamsung1,"The best Area Development Manager Samsung has got, covering South & East Lancashire","Preston, England",421,114,3349,0,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: | https://t.co/frTcCE6A12 https://t.co/BX8m1ZUaFN","['GalaxyS22', 'GalaxyBuds2Pro']"
34,2022-09-17 12:10:16+00:00,vivile_e,En BTS encontré mi serendipia y son la razón de mi euforia. Me llevan al ritmo de Pied Piper en la vida.,Chile,95,41,3794,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
35,2022-09-17 11:09:17+00:00,dincak,"Simple|I♥ALLAH SWT|I♥PapaMama|Mencari ridho Allah SWT
29 Desember
Ig : @dindaanadya",indonesia,349,404,14262,0,"Experience next level productivityand captured your moment in style with Galaxy Z Fold4, Z Flip4 5G Galaxy S22 Bora Purple #DoGreaterThanNow #GalaxyZFold4  #GalaxyZFlip #GalaxyS22 https://t.co/5FmuJWZFNr","['DoGreaterThanNow', 'GalaxyZFold4', 'GalaxyZFlip', 'GalaxyS22']"
36,2022-09-17 11:08:47+00:00,thesammyfans,"Official Twitter account of SammyFans.

#SamsungUnpacked #Samsung #withGalaxy #OneUI5 #Android13 #GalaxyZFold4 #GalaxyZFlip4",Worldwide,71,3648,13298,0,"New bug in One UI 5.0: Camera cutout feature is not working on Galaxy S22 #Samsung #OneUI #GalaxyS22
 https://t.co/Z1uQqEceW0","['Samsung', 'OneUI', 'GalaxyS22']"
37,2022-09-17 10:58:49+00:00,EinDrinkApp,"One click, More friends #Download https://t.co/esGmRiNk0c",worldwide,137,15335,9641,12,"""#Tech giants deploy NFT to diversify customer services. #Blockchain company #Theta Labs participated as an #NFT issuing partner.""
👉@TheKoreaHerald 
@NewGalaxyClub @Theta_Network @SAMSUNG
#Metaverse #cryptocurrency #TFUEL #Samsung #GalaxyS22
https://t.co/LiFbJXkcHJ https://t.co/XsV4pJBfF3","['Tech', 'Blockchain', 'Theta', 'NFT']"
38,2022-09-17 10:41:26+00:00,S_GhoshDostidar,"I prefer kindness and friendly behavior 🙏

Unfollow = Block 🚫  mind it 👍",India 🇮🇳,502,504,41235,4,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/8IUqkOoNZX. #GalaxyS22 Series #Samsung https://t.co/w7O3a11r0D",[]
39,2022-09-17 10:37:58+00:00,Anil_K_umar,nothing special🥺🥺🥺,"Uttar Pradesh, India",91,155,28866,4,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/8IUqkOoNZX. #GalaxyS22 Series #Samsung https://t.co/w7O3a11r0D",[]
40,2022-09-17 10:32:24+00:00,farideh1234A,https://t.co/vUPF3wZgpZ,,16,1838,97739,15,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: https://t.co/6WOzntp8su | https://t.co/ngF3XaLiJ5 https://t.co/b8g7c42NAw","['GalaxyS22', 'GalaxyBuds2Pro']"
41,2022-09-17 10:31:12+00:00,cherry65795399,"Cherry From India..Simply fellow....
Nature lover..Drive mode..i love driving","Sattenapalle, India",223,56,17909,0,"@SamsungIndia #GalaxyS22 
#Samsung
I love  most of the people like this Mobile in 2022","['GalaxyS22', 'Samsung']"
42,2022-09-17 10:30:01+00:00,SamsungIndia,"Official Twitter handle of Samsung India. If you’re looking for support, please connect with us through live chat: https://t.co/KC1Ko79akg",Gurgaon,11,2737528,359809,4,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/8IUqkOoNZX. #GalaxyS22 Series #Samsung https://t.co/w7O3a11r0D","['GalaxyS22', 'Samsung']"
43,2022-09-17 10:28:03+00:00,Shaan67750642,,,0,1,24,0,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: | https://t.co/PmfVSVcq82 https://t.co/vBH0NhNefb","['GalaxyS22', 'GalaxyBuds2Pro']"
44,2022-09-17 10:22:52+00:00,raselmuhammad03,hanya seorang pemimpi.,"Padang Barat, Indonesia",209,32,1950,8,"Beautiful design with mesmerizing color of #EpicBora Purple💜in #GalaxyS22 5G will help you bring the glam to whole new level when going out at night🤩
🔁If you got one
💬with #GalaxyS22 5G &amp; #EpicBora if you want one

Grab special offer worth up to 1.4Mio https://t.co/SzkM40nOa6 https://t.co/2IF2ZeY1OK","['EpicBora', 'GalaxyS22']"
45,2022-09-17 09:55:28+00:00,sb_ilna,💜,France,253,258,127039,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
46,2022-09-17 09:43:34+00:00,gorowtans,"shot on smartphone
#SukaBis","Jawa Tengah, Indonesia",699,46,11574,8,"Beautiful design with mesmerizing color of #EpicBora Purple💜in #GalaxyS22 5G will help you bring the glam to whole new level when going out at night🤩
🔁If you got one
💬with #GalaxyS22 5G &amp; #EpicBora if you want one

Grab special offer worth up to 1.4Mio https://t.co/SzkM40nOa6 https://t.co/2IF2ZeY1OK","['EpicBora', 'GalaxyS22']"
47,2022-09-17 09:11:33+00:00,sakyad,,Hyderabad,186,149,1666,2,"Never buying Samsung phone again, bought 2 Samsung M31, within 2 year due to their faulty motherboard i can't use my phone, searched internet 1000s of ppl have complained but the company doesn't accept their faulty motherboard problem. @SamsungMobile #GalaxyBuds2Pro #GalaxyS22","['GalaxyBuds2Pro', 'GalaxyS22']"
48,2022-09-17 09:03:50+00:00,bee_dancejm,Disney/Harry Potter/Detective Conan/くまモン,,76,1,310,1330,"#Jimin snapping some cute selfies with #GalaxyS22 behind the scenes. @bts.bighitofficial #GalaxyxBTS

Learn more - https://t.co/Uvy1eD9UaF https://t.co/Xwew7muhp8","['Jimin', 'GalaxyS22', 'GalaxyxBTS']"
49,2022-09-17 08:58:02+00:00,xha_kan7,GAMER🎯 PET LOVER🐕 FOODIE 🥘 #Bitcoin #BNB #NFT 🏆, IN,1864,74,5533,15,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: https://t.co/6WOzntp8su | https://t.co/ngF3XaLiJ5 https://t.co/b8g7c42NAw","['GalaxyS22', 'GalaxyBuds2Pro']"
50,2022-09-17 08:41:08+00:00,bts_0014,US BTS ARMY 💜 BTS ✨TXT✨LE SERRAFIM✨,,86,24,4291,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
51,2022-09-17 08:33:17+00:00,Aly39593626,I'm not a stalker 😉,,421,19,130369,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
52,2022-09-17 08:26:04+00:00,Valueplusindia1,We are North India’s Largest Electronics Retail Chain. Follow us for #latest electronics and #offers. #Plug into great experience with #Value Plus,North and East India ,146,645,2012,0,"The Galaxy S22 Ultra is yet another flagship performer from Samsung. 
Visit our nearest store, call 9971699699, or checkout https://t.co/xTho0TdBwW and shop this Wonderful Galaxy S22 Ultra 💎

#GalaxyS22Ultra #PremiumMobile #GalaxyS22ultra5G #Galaxys22 #5G #Android #2022 https://t.co/kQSQFn0T3m","['GalaxyS22Ultra', 'PremiumMobile', 'GalaxyS22ultra5G', 'Galaxys22', '5G', 'Android']"
53,2022-09-17 08:22:54+00:00,CyJX5Rptt4BI4h9,,Россия,36,5,8413,492,"Smile for #RM! Look what he captured with the #GalaxyS22 Ultra 5G.
#GalaxyxBTS @bts.bighitofficial

Learn more: https://t.co/BZe9O8smUq https://t.co/mhPVdvI5VZ","['RM', 'GalaxyS22', 'GalaxyxBTS']"
54,2022-09-17 08:20:54+00:00,CyJX5Rptt4BI4h9,,Россия,36,5,8413,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
55,2022-09-17 08:20:49+00:00,CyJX5Rptt4BI4h9,,Россия,36,5,8413,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
56,2022-09-17 08:19:03+00:00,KeyTaehyung1230,,,1,17,20751,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
57,2022-09-17 08:12:59+00:00,RyujinS_Tokkii,BTS ARMY,,107,6,877,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
58,2022-09-17 07:59:13+00:00,ac_eep,,,58,25,31767,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
59,2022-09-17 07:56:17+00:00,Whytaehyung1230,,,2,18,21915,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
60,2022-09-17 07:37:53+00:00,mrongkook,"DynAMIte_BTSpop

@ fan account",,98,21,35982,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
61,2022-09-17 07:37:06+00:00,alnajjar_joud,"Hi ARMY 👋  My name is joud, I'm 16 years old 💜 I was born on 16/7/2005 💜
I love BTS so Much {ARMY FOREVER} 💙 
OT7, My Bais is V 💚 My Wrecker is Jimin 💛",,362,12,3739,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
62,2022-09-17 07:20:20+00:00,Elizabe54483762,Only Army 💜,,86,13,1061,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
63,2022-09-17 07:19:55+00:00,xNJYHJTJx,"⟭⟬ In this bangtan shit for life ⟬⟭

mixed b&w she/her

pfp & header: @samdoesarts",BTS ONLY,158,401,148173,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
